BD0152_Hostel_P,NAM IS NULL OR NAM = '',4
BD0153_Gallery_P,NAM IS NULL OR NAM = '',4
BD0154_Youth_Club_P,NAM IS NULL OR NAM = '',4
BD0155_Club_House_P,NAM IS NULL OR NAM = '',4
BD0160_Welfare_Home_P,NAM IS NULL OR NAM = '',4
BD0161_Old_Folk_Home_P,NAM IS NULL OR NAM = '',4
BD0162_Handicapped_Home_P,NAM IS NULL OR NAM = '',4
BD0163_Orphanage_P,NAM IS NULL OR NAM = '',4
BD0170_Agricultural_Station_P,NAM IS NULL OR NAM = '',4
BD0180_Research_Station_Laboratory_P,NAM IS NULL OR NAM = '',4
BD0999_Other_Institutional_Building_P,NAM IS NULL OR NAM = '',4
BD0044_Rehabilitation_Centre_P,NAM IS NULL OR NAM = '',4
BD0020_Hospital_P,NAM IS NOT NULL AND NAM <> '',2
BD0021_Clinic_P,NAM IS NOT NULL AND NAM <> '',2
BD0030_Fire_And_Rescue_Station_P,NAM IS NOT NULL AND NAM <> '',2
BD0040_Police_Station_P,NAM IS NOT NULL AND NAM <> '',2
BD0200_Training_Centre_P,NAM IS NOT NULL AND NAM <> '',2
BD0042_Police_Cottage_and_Beat_P,NAM IS NOT NULL AND NAM <> '',2
BD0043_Detention_Centre_P,NAM IS NOT NULL AND NAM <> '',2
BD0045_Prison_P,NAM IS NOT NULL AND NAM <> '',2
BD0050_Army_Camp_P,NAM IS NOT NULL AND NAM <> '',2
BD0060_Government_Office_P,NAM IS NOT NULL AND NAM <> '',2
BD0061_Foreign_Diplomatic_Embassy_P,NAM IS NOT NULL AND NAM <> '',2
BD0070_Parliament_House_P,NAM IS NOT NULL AND NAM <> '',2
BD0071_State_Assembly_House_P,NAM IS NOT NULL AND NAM <> '',2
BD0072_Town_Hall_P,NAM IS NOT NULL AND NAM <> '',2
BD0080_Court_P,NAM IS NOT NULL AND NAM <> '',2
BD0090_Museum_P,NAM IS NOT NULL AND NAM <> '',2
BD0100_Science_Centre_P,NAM IS NOT NULL AND NAM <> '',2
BD0110_Art_Theatre_National_Theatre_P,NAM IS NOT NULL AND NAM <> '',2
BD0120_Library_P,NAM IS NOT NULL AND NAM <> '',2
BD0130_Memorial_P,NAM IS NOT NULL AND NAM <> '',2
BD0140_Palace_P,NAM IS NOT NULL AND NAM <> '',2
BD0150_Multi_Purpose_House_P,NAM IS NOT NULL AND NAM <> '',2
BD0151_Community_Hall_P,NAM IS NOT NULL AND NAM <> '',2
BD0152_Hostel_P,NAM IS NOT NULL AND NAM <> '',2
BD0153_Gallery_P,NAM IS NOT NULL AND NAM <> '',2
BD0154_Youth_Club_P,NAM IS NOT NULL AND NAM <> '',2
BD0155_Club_House_P,NAM IS NOT NULL AND NAM <> '',2
BD0160_Welfare_Home_P,NAM IS NOT NULL AND NAM <> '',2
BD0161_Old_Folk_Home_P,NAM IS NOT NULL AND NAM <> '',2
BD0162_Handicapped_Home_P,NAM IS NOT NULL AND NAM <> '',2
BD0163_Orphanage_P,NAM IS NOT NULL AND NAM <> '',2
BD0170_Agricultural_Station_P,NAM IS NOT NULL AND NAM <> '',2
BD0180_Research_Station_Laboratory_P,NAM IS NOT NULL AND NAM <> '',2
BD0999_Other_Institutional_Building_P,NAM IS NOT NULL AND NAM <> '',2
BD0044_Rehabilitation_Centre_P,NAM IS NOT NULL AND NAM <> '',2
BJ0010_Taxi_Terminal_Taxi_Stand_A,NAM IS NULL OR NAM = '',3
BJ0030_Rail_Terminal_Railway_Station_A,NAM IS NULL OR NAM = '',3
BJ0330_Petrol_Station_A,NAM IS NULL OR NAM = '',3
BJ0370_Parking_Area_A,NAM IS NULL OR NAM = '',3
BJ0440_Airport Terminal_A,NAM IS NULL OR NAM = '',3
BJ0460_Public_Toilet_A,NAM IS NULL OR NAM = '',3
BJ0010_Taxi_Terminal_Taxi_Stand_A,NAM IS NOT NULL AND NAM <> '',2
BJ0030_Rail_Terminal_Railway_Station_A,NAM IS NOT NULL AND NAM <> '',2
BJ0330_Petrol_Station_A,NAM IS NOT NULL AND NAM <> '',2
BJ0370_Parking_Area_A,NAM IS NOT NULL AND NAM <> '',2
BJ0440_Airport Terminal_A,NAM IS NOT NULL AND NAM <> '',2
BJ0460_Public_Toilet_A,NAM IS NOT NULL AND NAM <> '',2
BJ0010_Taxi_Terminal_Taxi_Stand_P,NAM IS NULL OR NAM = '',4
BJ0030_Rail_Terminal_Railway_Station_P,NAM IS NULL OR NAM = '',4
BJ0330_Petrol_Station_P,NAM IS NULL OR NAM = '',4
BJ0370_Parking_Area_P,NAM IS NULL OR NAM = '',4
BJ0440_Airport_Terminal_P,NAM IS NULL OR NAM = '',4
BJ0460_Public_Toilet_P,NAM IS NULL OR NAM = '',4
BJ0010_Taxi_Terminal_Taxi_Stand_P,NAM IS NOT NULL AND NAM <> '',2
BJ0030_Rail_Terminal_Railway_Station_P,NAM IS NOT NULL AND NAM <> '',2
BJ0330_Petrol_Station_P,NAM IS NOT NULL AND NAM <> '',2
BJ0370_Parking_Area_P,NAM IS NOT NULL AND NAM <> '',2
BJ0440_Airport_Terminal_P,NAM IS NOT NULL AND NAM <> '',2
BJ0460_Public_Toilet_P,NAM IS NOT NULL AND NAM <> '',2
UB0130_Very_Small_Aperture_Terminal_Station_VSAT_Station_P,,2
UB0180_Telecommunication_Tower_P,,2
UA0030_Power_Station_A,,3
UA0040_Substation_A,,3
UA0030_Power_Station_P,,3
UA0040_Substation_P,,3
UD0085_Oil_Derrick_P,,4
UC0060_Reservoir_Water_Tank_A,,2
UC0060_Reservoir_Water_Tank_P,,2
UD0083_Oil_Tank_A,,2
UD0093_Gas_Tank_A,,2
UD0083_Oil_Tank_P,,2
UD0093_Gas_Tank_P,,2
UC0100_Suction_Tank_A,,2
UC0100_Suction_Tank_P,,2
HH0020_Lake_A,,0
HH0210_Pond_A,,0
BJ0380_Historical_Site_A,,2
BJ0380_Historical_Site_P,,2
UF0010_Sewage_Treatment_Plant_A,,3
HL0010_Inland_Island_A,,4
HL0020_Coastal_Island_A,,4
HL0030_Offshore_Island_A,,4
BG0010_Stadium_A,,3
BG0020_Sport_Complex_A,,3
BG0030_Swimming_Complex_A,,3
BG0040_Swimming_Pool_A,,3
BG0050_Velodrome_A,,3
BG0060_Playground_A,,3
BG0070_Golf_Course_A,,3
BG0080_Polo_Field_A,,3
BG0090_Park_A,,3
BG0100_Theme_Park_A,,3
BG0110_Racing_Circuit_A,,3
BG0120_Racing_Course_A,,3
BG0130_Golf_Driving_Range_A,,3
BG0140_Zoo_or_Animal_Sanctuary_A,,3
BG0180_Sport_Court_Field_A,,3
BG0999_Other_Recreational_Building_A,,3
BJ0030_Rail_Terminal_Railway_Station_A,NAM IS NULL AND NAM = '',2
BJ0030_Rail_Terminal_Railway_Station_A,NAM IS NOT NULL AND NAM <> '',1
BJ0030_Rail_Terminal_Railway_Station_P,NAM IS NULL AND NAM = '',2
BJ0030_Rail_Terminal_Railway_Station_P,NAM IS NOT NULL AND NAM <> '',1
ZA0070_Base_Point_P,,1
ZA0010_Global_Navigation_Satellite_System_Station_P,,1
ZA0050_Height_Point_P,,1
ZA0080_International_Boundary_Marker_P,,1
ZA0040_Trigonometry_Station_P,,1
ZA0090_State_Boundary_Marker_P,,1
RA0060_Cliff_Precipitous_L,,4
DA0540_Park_Reserve_Area_L,,3
DA0580_Forest_Reserve_Area_L,,3
DA0600_Water_Catchment_Reserve_Area_L,,3
DA0620_Wildlife_Reserve_Area_L,,3
DA0700_Aquaculture_Reserve_Area_L,,3
DA0720_Malay_Reserve_Area_L,,3
DA0740_Government_Reserve_Area_L,,3
DA0880_Aborigine_Reserve_Area_L,,3
HH0042_River_Coverage_A,,1
HE0020_Light_House_P,,1
AB0020_Airfield_A,,1
AB0050_Runway_A,,1
AB0180_Taxiway_A,,1
BH0020_Crematorium_A,NAM IS NULL OR NAM = '',3
BH0020_Crematorium_A,NAM IS NOT NULL AND NAM <> '',2
BH0040_Columbarium_A,NAM IS NULL OR NAM = '',3
BH0040_Columbarium_A,NAM IS NOT NULL AND NAM <> '',2
GD3100_Quarry_Pit_P,,1
